source,TIME,HELMET_RAW,BELT_ACC_X,BELT_ACC_Y,BELT_ACC_Z,BELT_ANG_X,BELT_ANG_Y,BELT_ANG_Z,BELT_LUMINOSITY,NECK_ACC_X,NECK_ACC_Y,NECK_ACC_Z,NECK_ANG_X,NECK_ANG_Y,NECK_ANG_Z,NECK_LUMINOSITY,PCKT_ACC_X,PCKT_ACC_Y,PCKT_ACC_Z,PCKT_ANG_X,PCKT_ANG_Y,PCKT_ANG_Z,PCKT_LUMINOSITY,WRST_ACC_X,WRST_ACC_Y,WRST_ACC_Z,WRST_ANG_X,WRST_ANG_Y,WRST_ANG_Z,WRST_LUMINOSITY,IR_1,IR_2,IR_3,IR_4
S01_A01_T01.csv,5/24/18 11:36,51.9,0.953571429,-0.0157,0.166557143,-0.778,-0.157,0.0494,477.9362,0.966966667,-0.003833333,0.071133333,-3.165,0.100375,-1.08725,587.4846667,-0.2755,-0.968028571,0.0653,-0.448571429,-0.093857143,-0.198571429,2.648,-0.88,-0.378183333,-0.048416667,0.935,0.833333333,0.1725,336.511,1,1,1,1
S01_A01_T01.csv,5/24/18 11:36,52,0.947333333,-0.015066667,0.190633333,1.553111111,1.214666667,0.53,494.4196667,0.9702,0.00786,0.07294,-4.42,1.206,-2.53,587.806,-0.278666667,-0.9653,0.0618,-1.603333333,-1.704666667,0.184,2.607,-0.87592,-0.38054,-0.03232,-2.642333333,-1.036666667,-0.416833333,347.9843333,1,1,1,1
S01_A01_T01.csv,5/24/18 11:36,52,0.951614286,-0.015385714,0.153028571,-5.098333333,-8.031666667,0.762666667,499.012,0.96425,0.006675,0.066425,-4.02125,2.828,-2.4675,587.806,-0.285183333,-0.9664,0.055816667,-0.1815,-2.743,0.4275,2.672,-0.8908,-0.3871,0.029157143,47.9998,3.0976,4.5366,351.919,1,1,1,1
S01_A01_T01.csv,5/24/18 11:36,52,0.92562,-0.10146,-0.27214,0.892,-19.296,5.9986,413.00975,0.9658,0.014225,0.075525,-2.635714286,2.343142857,-1.548571429,588.6213333,-0.27296,-0.96876,0.06374,0.346333333,1.2,-1.603333333,2.835,-0.8475,-0.3272,0.337033333,40.051,-12.80483333,-10.63,462.665,1,1,1,1
S01_A01_T01.csv,5/24/18 11:36,51.88888889,0.632325,-0.09675,-0.140775,-4.8572,-47.598,-8.654,413.00975,0.96506,0.02268,0.08724,-2.258181818,2.311454545,0.196727273,589.029,-0.27915,-0.91,0.349,19.06,-9.0596,4.2072,2.755,0.0843,-0.317466667,0.3663,-45.6705,-80.3655,-15.701,702.8756667,1,1,1,1
S01_A01_T01.csv,5/24/18 11:36,51.9,0.576083333,-0.161866667,-0.946916667,2.95,7.277571429,-0.724142857,413.00975,0.9687,0.00855,0.0908,4.61175,2.309375,6.181375,589.029,0.132166667,-1.028366667,-0.3777,-52.698,3.066,-21.274,2.755,-1.04094,-0.1801,0.39384,-8.561,54.9388,30.0608,702.8756667,1,0,1,0
S01_A01_T01.csv,5/24/18 11:36,51.9,0.576083333,-0.161866667,-0.946916667,2.95,7.277571429,-0.724142857,413.00975,0.9687,0.00855,0.0908,4.61175,2.309375,6.181375,589.029,0.132166667,-1.028366667,-0.3777,-52.698,3.066,-21.274,0,-1.04094,-0.1801,0.39384,-8.561,54.9388,30.0608,0,1,0,1,0
S01_A01_T01.csv,5/24/18 11:36,51.77777778,0.41155,-0.1562875,-0.8449625,-8.974,-0.3328,-3.686,413.00975,0.962133333,-0.0096,0.092366667,10.02428571,1.437285714,2.839714286,598.805,0.15775,-0.82035,-0.45625,22.08166667,-9.441,8.2735,1.748,-0.864975,-0.418275,0.299675,-26.0736,19.8168,25.4388,526.793,1,0,1,0
S01_A01_T01.csv,5/24/18 11:36,52,0.72355,-0.155225,-0.636575,-1.992,31.1324,-7.446,110.181,0.9672,0.0043,0.10525,9.936666667,1.240111111,-0.978888889,598.805,0.0296,-0.84685,-0.118775,43.625,-13.88166667,2.3895,1.795,-0.8989875,-0.4214375,0.4135625,-5.321114286,-25.80728571,-9.913714286,563.093,1,1,1,0
S01_A01_T01.csv,5/24/18 11:36,51.75,0.838925,-0.093175,-0.241225,-20.86666667,7.006666667,-3.323333333,41.1944,0.965714286,0.000857143,0.1058,-0.834,-1.284285714,1.567571429,609.1643333,-0.26415,-0.62995,0.799925,33.458,-1.9438,18.51,2.5,-0.03548,-0.45118,0.25836,-9.76425,11.34925,7.439,454.21,1,1,1,0
S01_A01_T01.csv,5/24/18 11:36,51.85714286,0.92674,-0.13266,0.02058,12.48733333,14.11283333,1.862833333,276.3976667,0.96524,-0.01496,0.085,-2.861111111,-1.377777778,1.808666667,614.344,-0.274457143,-0.844271429,0.389528571,-39.8,-4.3095,-0.67925,3.365,0.710475,0.51305,0.4726,-24.45412,8.4054,25.4384,791.609,1,1,1,0
S01_A01_T02.csv,5/24/18 11:36,51.9,0.93772,-0.0719,0.22074,5.162666667,-3.98,1.626,498.3953333,0.96625,0.0132,0.0461,-7.426666667,-13.72333333,-1.073444444,591.42075,-0.2883,-0.9641,0.0786,1.76825,-0.08925,0.1065,2.9745,0.611133333,-0.174466667,0.319366667,23.262,-112.653,-0.854,816.33225,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,52,0.943214286,-0.083857143,0.159142857,0.8855,1.702166667,-0.5165,468.375,0.8237,0.065625,-0.18845,-1.933444444,-100.4888889,-18.85777778,557.889,-0.2663,-0.973283333,0.073416667,-0.503,-5.779,0.499714286,2.921,-0.658566667,-0.72725,-0.212683333,-14.24431667,-23.79983333,-19.68566667,509.547,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,52,0.948,-0.0782,0.1619,0.155,-6.4975,1.3415,429.2093333,1.05258,0.11852,-0.35684,-1.467,29.003,21.1632,463.6536667,-0.2755,-0.96794,0.1095,1.50925,-3.2575,-1.615,2.922333333,-0.90644,-0.36766,-0.05982,-13.42368333,-28.174,19.43916667,370.2343333,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,52,0.95239,-0.0882,0.09288,-2.840625,-3.440125,0.306375,429.2093333,1.2493,0.03214,-0.36182,25.85,14.99555556,-8.831,416.536,-0.2881,-0.98016,0.2087,8.2738,7.3776,0.83,2.873,-0.917983333,-0.343733333,-0.012716667,31.26805,-155.2995,-76.76975,415.092,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,52,0.9514,-0.08791,0.04817,3.17875,-0.5615,0.98725,429.2093333,0.8247,0.124825,-0.293175,22.284,-32.483,-21.4363,410.1055,-0.262628571,-0.974328571,0.131371429,-0.193166667,-2.424833333,-2.771,2.5685,-0.877633333,-0.33045,0.112683333,-4.136285714,-61.80014286,-32.528,468.17,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,52,0.9514,-0.08791,0.04817,3.17875,-0.5615,0.98725,0,0.8247,0.124825,-0.293175,22.284,-32.483,-21.4363,410.1055,-0.262628571,-0.974328571,0.131371429,-0.193166667,-2.424833333,-2.771,2.5685,-0.877633333,-0.33045,0.112683333,-4.136285714,-61.80014286,-32.528,468.17,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,51.8,0.946314286,-0.098957143,0.099585714,2.561,3.379,2.0022,427.8,0.531666667,0.1501,0.315033333,-47.782,-57.7024,29.824,403.675,-0.26885,-0.965625,0.138525,-0.2885,-2.64825,1.12825,2.767,-0.881733333,-0.284616667,0.1745,-9.729583333,-47.85733333,-10.66183333,514.7115,1,1,1,1
S01_A01_T02.csv,5/24/18 11:36,52,0.958275,-0.068575,0.14105,4.954,1.9075,-1.03525,411.9505,0.65302,0.03604,-0.00994,-24.373,7.391,11.5901,403.675,-0.269628571,-0.970914286,0.126471429,-1.953,-3.8905,-0.63925,2.826,-0.87844,-0.35232,0.06082,6.7707,-158.7906,-49.2734,489.1615,1,1,1,1
